"state","stateNum","year","gsp","stapprop","popltion","govtideo","citzideo","farmbur","povrate","lscgrnts","lscderiv","othfed","standloc","iolta","private","nonlscdv","nonlscto","grandtot","pctnolsc","year96","year97","year98","year99","pctstate","pcfarmbu","povpop","lscppp","totppp","st$ppp","othrppp","outlier","newprivt","gsp99","lsc99","othr99","stloc99","prvt99"
"alabama",1,1996,99286,0,4040389,30.86,29.4,2625,14,5579780,1519101,74313,0,380735,27400,44836,527284,7626165,6.91,1,0,0,0,0,0,565654.46,9.86,13.48,0,3.62,0,408135,105342.45,5920146.58,78846.09,0,433031.24
"alaska",2,1996,25774,1,550043,41.73,31.54,318,8.2,938850,325308,443976,487871,142635,1007,124071,1199560,2463718,48.69,1,0,0,0,19.8,0,45103.53,20.82,54.62,10.82,22.99,1,143642,27346.21,996119.85,471058.54,517631.13,152404.16
"arizona",3,1996,112882,0,3665339,1.79,36.17,7504,20.5,6874795,1318207,300457,657545,554999,370368,338645,2222014,10376626,21.41,1,0,0,0,6.34,0,751394.5,9.15,13.81,0.88,3.84,0,925367,119767.8,7294157.5,318784.88,697655.25,981814.39
"arkansas",4,1996,56796,0,2350624,61.02,35.49,203953,17.2,3222083,1020548,80166,16600,224200,39862,201126,561954,4804585,11.7,1,0,0,0,0.35,0.09,404307.33,7.97,11.88,0.04,3.87,0,264062,60260.56,3418630.06,85056.13,17612.6,280169.78
"california",5,1996,973395,0,29811427,25.26,50.3,75036,16.9,28667576,4042762,4042762,1337416,3941731,1014685,7264193,16580034,49290372,33.64,1,0,0,0,2.71,0,5038131.16,5.69,9.78,0.27,4.03,0,4956416,1032772.1,30416298.14,4289370.48,1418998.38,5258757.38
"colorado",6,1996,117118,0,3294473,56.08,45.85,20988,10.6,2915732,90375,148055,101443,775776,794189,333728,2153191,4979370,43.24,1,0,0,0,2.04,0.01,349214.14,8.35,14.26,0.29,6.13,0,1569965,124262.2,3093591.65,157086.36,107631.02,1665732.87
"connecticut",7,1996,124157,0,3287116,42.62,58.98,4187,11.7,1688282,5601,0,0,0,0,24834,24834,1706396,1.46,1,0,0,0,0,0,384592.57,4.39,4.44,0,0.08,0,0,131730.58,1791267.2,0,0,0
"delaware",8,1996,29001,0,666168,65.88,45.69,3022,8.6,433534,4187,0,0,0,0,1000,1000,438721,0.23,1,0,0,0,0,0,57290.45,7.57,7.66,0,0.09,0,0,30770.06,459979.57,0,0,0
"florida",9,1996,366318,0,12938071,61.83,43.45,121391,14.2,12369862,3107895,1902885,2762407,7086932,270430,3354612,15377266,30855023,49.84,1,0,0,0,8.95,0.01,1837206.08,6.73,16.79,1.5,8.56,0,7357362,388663.4,13124423.58,2018960.99,2930913.83,7806161.08
"georgia",10,1996,219520,0,6478149,77,38.9,268489,14.8,7117899,1198873,1195105,333887,919031,931625,2041606,5421254,13738026,39.46,1,0,0,0,2.43,0.04,958766.05,7.42,14.33,0.35,6.56,0,1850656,232910.72,7552090.84,1268006.41,354254.11,1963546.02
"hawaii",11,1996,37490,1,1108229,93.88,79.84,1807,12.1,937474,15658,230000,1963646,125000,137585,342020,2798251,3751383,74.59,1,0,0,0,52.34,0,134095.71,6.99,27.98,14.64,6.34,0,262585,39776.89,994659.91,244030,2083428.41,278602.69
"idaho",12,1996,28101,0,1006734,2.38,20.37,46412,11.9,1058093,307242,262213,0,100000,50765,38289,451267,1816602,24.84,1,0,0,0,0,0.05,119801.35,8.83,15.16,0,6.33,0,150765,29815.16,1122636.67,278207.99,0,159961.67
"illinois",13,1996,375949,0,11430602,17.11,52.85,384717,12.1,10230410,2238893,941278,2528872,1205871,1339072,686141,6701234,19170537,34.96,1,0,0,0,13.19,0.03,1383102.84,7.4,13.86,1.83,4.64,0,2544943,398881.89,10854465.01,998695.96,2683133.19,2700184.52
"indiana",14,1996,155096,0,5544156,43.13,38.2,271628,7.5,4423271,860031,492732,375824,0,335032,345590,1549178,6832480,22.67,1,0,0,0,5.5,0.05,415811.7,10.64,16.43,0.9,4.89,0,335032,164556.86,4693090.53,522788.65,398749.26,355468.95
"iowa",15,1996,76976,1,2776831,23.6,41.26,158259,9.6,2370512,656568,165340,741180,459003,350460,134286,1850269,4877349,37.94,1,0,0,0,15.2,0.06,266575.78,8.89,18.3,2.78,6.62,0,809463,81671.54,2515113.23,175425.74,786391.98,858840.24
"kansas",16,1996,68160,1,2477588,10.42,35.8,129282,11.2,2117615,97811,376208,2731876,141495,384880,1082939,4717398,6932824,68.04,1,0,0,0,39.4,0.05,277489.86,7.63,24.98,9.84,7.51,0,526375,72317.76,2246789.52,399156.69,2898520.44,558483.88
"kentucky",17,1996,95536,1,3686892,69.31,36.12,376371,17,5257562,1129206,404120,1601636,228587,679720,551784,3465847,9852615,35.18,1,0,0,0,16.26,0.1,626771.64,8.39,15.72,2.56,4.78,0,908307,101363.7,5578273.28,428771.32,1699335.8,963713.73
"louisiana",18,1996,116867,0,4221826,39.4,36.3,104120,20.5,7456542,1268312,397353,133834,686422,160719,56406,1434734,10159588,14.12,1,0,0,0,1.32,0.02,865474.33,8.62,11.74,0.15,2.97,0,847141,123995.89,7911391.06,421591.53,141997.87,898816.6
"maine",19,1996,28925,1,1227928,50.2,52.2,5006,11.2,1041325,343216,19213,185523,186375,85830,61905,538846,1923387,28.02,1,0,0,0,9.65,0,137527.94,7.57,13.99,1.35,5.06,0,272205,30689.43,1104845.83,20384.99,196839.9,288809.51
"maryland",20,1996,145061,1,4780753,90.17,58.37,14279,10.3,2971013,12282,254740,4484186,1407314,162630,53159,6362029,9345324,68.08,1,0,0,0,47.98,0,492417.56,6.03,18.98,9.11,3.84,0,1569944,153909.72,3152244.79,270279.14,4757721.35,1665710.58
"massachusetts",21,1996,210127,1,6016425,70.3,76.27,5799,10.1,4004616,356918,966380,3233260,1704133,1007171,1911329,8822273,13127911,67.2,1,0,0,0,24.63,0,607658.93,6.59,21.6,5.32,9.78,0,2711304,222944.75,4248897.58,1025329.18,3430488.86,2876693.54
"michigan",22,1996,265130,1,9295287,15.77,48.45,155718,11.2,9294442,1622704,1668358,1655778,627526,2231859,1063882,7247403,18164549,39.9,1,0,0,0,9.12,0.02,1041072.14,8.93,17.45,1.59,6.93,0,2859385,281302.93,9861402.96,1770127.84,1756780.46,3033807.49
"minnesota",23,1996,141540,1,4375665,42.57,52.41,32660,9.8,3544911,311421,495000,4052898,533163,664681,1190858,6936600,10792932,64.27,1,0,0,0,37.55,0.01,428815.17,8.27,25.17,9.45,7.45,0,1197844,150173.94,3761150.57,525195,4300124.78,1270912.48
"mississippi",24,1996,56575,0,2575475,25.88,23.53,201835,20.6,4931278,1081389,168272,5833,191133,0,15102,380340,6393007,5.95,1,0,0,0,0.09,0.08,530547.85,9.29,12.05,0.01,2.74,0,191133,60026.08,5232085.96,178536.59,6188.81,202792.11
"missouri",25,1996,146537,1,5116901,69.18,45.34,83907,9.5,5112965,537958,431639,1205474,743934,889525,818441,4089013,9739936,41.98,1,0,0,0,12.38,0.02,486105.6,10.52,20.04,2.48,7.04,0,1633459,155475.76,5424855.87,457968.98,1279007.91,1733100
"montana",26,1996,18074,0,799065,2.5,38.34,6861,17,1067709,101103,0,26250,0,0,486381,512631,1681443,30.49,1,0,0,0,1.56,0.01,135841.05,7.86,12.38,0.19,4.32,0,0,19176.51,1132839.25,0,27851.25,0
"nebraska",27,1996,47772,0,1578417,62.25,39.5,40741,10.2,1341632,89441,22000,568827,227457,42554,275930,1136768,2567841,44.27,1,0,0,0,22.15,0.03,160998.53,8.33,15.95,3.53,4.08,0,270011,50686.09,1423471.55,23342,603525.45,286481.67
"nevada",28,1996,54564,1,1201675,50.91,39.51,10542,8.1,1027349,136055,251752,100831,38000,188000,152340,730923,1894327,38.58,1,0,0,0,5.32,0.01,97335.68,10.55,19.46,1.04,7.87,0,226000,57892.4,1090017.29,267108.87,106981.69,239786
"new hampshire",29,1996,35068,0,1109252,1.25,30.32,5283,6.4,532860,598,0,0,2500,0,0,2500,535958,0.47,1,0,0,0,0,0,70992.13,7.51,7.55,0,0.04,0,2500,37207.15,565364.46,0,0,2652.5
"new jersey",30,1996,285738,1,7747750,33.75,61.64,10330,9.2,4419569,561733,2560590,4933712,4961411,405641,1561297,14422651,19403953,74.33,1,0,0,0,25.43,0,712793,6.2,27.22,6.92,14.1,0,5367052,303168.02,4689162.71,2716785.99,5234668.43,5694442.17
"new mexico",31,1996,44114,0,1515069,52.08,49.25,14352,25.5,2721151,582984,403564,180682,0,146000,308430,1038676,4342811,23.92,1,0,0,0,4.16,0.01,386342.6,7.04,11.24,0.47,3.73,0,146000,46804.95,2887141.21,428181.4,191703.6,154906
"new york",32,1996,633830,1,17990778,43.68,64.28,27049,16.7,17560207,1850125,1437277,17545191,5060121,959476,2974622,27976687,47387019,59.04,1,0,0,0,37.03,0,3004459.93,5.84,15.77,5.84,4.09,0,6019597,672493.63,18631379.63,1524950.9,18615447.65,6386792.42
"north carolina",33,1996,204329,1,6632448,60.33,42.29,387247,12.2,6508613,1236520,263031,1145574,129001,1075365,915143,4689114,12434247,37.71,1,0,0,0,9.21,0.06,809158.66,8.04,15.37,1.42,4.47,0,1204366,216793.07,6905638.39,279075.89,1215454.01,1277832.33
"north dakota",34,1996,15855,1,638800,7.85,49.46,29885,11,834039,237326,188125,168331,78524,25922,92115,553017,1624382,34.04,1,0,0,0,10.36,0.05,70268,11.87,23.12,2.4,8.85,0,104446,16822.16,884915.38,199600.63,178599.19,110817.21
"ohio",35,1996,306333,1,10847115,14.64,45.83,180882,12.7,10222984,1007977,1317131,1003615,8126326,1100489,3392114,14939675,26170636,57.09,1,0,0,0,3.83,0.02,1377583.61,7.42,19,0.73,10.85,0,9226815,325019.31,10846586.02,1397475.99,1064835.52,9789650.72
"oklahoma",36,1996,74855,1,3145576,10.54,9.25,112091,16.6,4217039,720645,372425,553261,130000,292571,193699,1541956,6479640,23.8,1,0,0,0,8.54,0.04,522165.62,8.08,12.41,1.06,3.27,0,422571,79421.16,4474278.38,395142.93,587009.92,448347.83
"oregon",37,1996,91709,1,2842337,58.76,59.21,21795,11.8,2804548,173181,341092,1674895,153848,237168,826272,3233275,6211004,52.06,1,0,0,0,26.97,0.01,335395.77,8.36,18.52,4.99,5.16,0,391016,97303.25,2975625.43,361898.61,1777063.6,414867.98
"pennsylvania",38,1996,329660,1,11882842,25.45,49.27,26624,11.6,9898048,670837,4976386,1893631,1180927,824399,2438391,11313734,21882619,51.7,1,0,0,0,8.65,0,1378409.67,7.18,15.88,1.37,7.32,0,2005326,349769.26,10501828.93,5279945.55,2009142.49,2127650.89
"rhode island",39,1996,26656,1,1003464,62.42,67.19,2305,11,714578,16778,41697,317498,360000,114781,78677,912653,1644009,55.51,1,0,0,0,19.31,0,110381.04,6.47,14.89,2.88,5.54,0,474781,28282.02,758167.26,44240.52,336865.38,503742.64
"south carolina",40,1996,89854,1,3486310,24.26,37.8,123359,13,3992696,542567,53807,37900,696776,98120,22472,909075,5444338,16.7,1,0,0,0,0.7,0.04,453220.3,8.81,12.01,0.08,3.12,0,794896,95335.09,4236250.46,57089.23,40211.9,843384.66
"south dakota",41,1996,19372,0,696004,6.7,42.85,9644,11.8,1554543,351231,86817,2447,26500,24862,292947,433573,2339347,18.53,1,0,0,0,0.1,0.01,82128.47,18.93,28.48,0.03,9.53,0,51362,20553.69,1649370.12,92112.84,2596.27,54495.08
"tennessee",42,1996,142051,1,4877203,24.18,32.02,479948,15.9,5744233,1227754,562105,1452258,576450,340476,1277513,4208802,11180789,37.64,1,0,0,0,12.99,0.1,775475.28,7.41,14.42,1.87,5.14,0,916926,150716.11,6094631.21,596393.41,1540845.74,972858.49
"texas",43,1996,553180,1,16986335,31.33,34.8,307560,16.6,23309877,3292311,275215,732885,3342325,562699,627704,5540828,32143016,17.24,1,0,0,0,2.28,0.02,2819731.61,8.27,11.4,0.26,2.87,0,3905024,586923.98,24731779.5,292003.12,777590.99,4143230.46
"utah",44,1996,51523,0,1722850,4.75,28.12,21060,7.7,1518858,347563,85801,160175,87700,139445,0,473121,2339542,20.22,1,0,0,0,6.85,0.01,132659.45,11.45,17.64,1.21,4.98,0,227145,54665.9,1611508.34,91034.86,169945.68,241000.85
"vermont",45,1996,14662,1,562758,83.99,75.46,4109,12.6,411528,1663,0,0,0,2520,823,3343,416534,0.8,1,0,0,0,0,0.01,70907.51,5.8,5.87,0,0.07,0,2520,15556.38,436631.21,0,0,2673.72
"virginia",46,1996,199953,1,6189197,27.81,36.51,123262,12.3,4716127,858566,266462,3270547,3379878,647005,368530,7932422,13507115,58.73,1,0,0,0,24.21,0.02,761271.23,6.2,17.74,4.3,7.25,0,4026883,212150.13,5003810.75,282716.18,3470050.37,4272522.86
"washington",47,1996,161779,1,4866669,60.56,48.98,15395,11.9,4183850,80760,0,0,0,0,32000,32000,4296610,0.74,1,0,0,0,0,0,579133.61,7.22,7.42,0,0.19,0,0,171647.52,4439064.85,0,0,0
"west virginia",48,1996,37220,0,1793477,80.8,57.11,13011,18.5,2661010,117520,168188,580929,476449,36836,154116,1416518,4195048,33.77,1,0,0,0,13.85,0.01,331793.25,8.02,12.64,1.75,2.87,0,513285,39490.42,2823331.61,178447.47,616365.67,544595.39
"wisconsin",49,1996,141046,0,4891954,28.72,49.84,46124,8.8,4029200,1398021,304317,173632,676001,140929,450918,1745797,7173018,24.34,1,0,0,0,2.42,0.01,430491.95,9.36,16.66,0.4,6.9,0,816930,149649.81,4274981.2,322880.34,184223.55,866762.73
"wyoming",50,1996,15879,0,453589,4.17,31.2,8077,11.9,540461,39978,0,0,14633,0,81786,96419,676858,14.25,1,0,0,0,0,0.02,53977.09,10.01,12.54,0,2.53,0,14633,16847.62,573429.12,0,0,15525.61
"alabama",1,1997,104213,0,4040389,39.14,36.1,2635,15.7,5683339,1116753,63989,6290,365000,29409,74151,538839,7338931,7.34,0,1,0,0,0.09,0,634341.07,8.96,11.57,0.01,2.6,0,394409,108277.31,5904989.22,66484.57,6535.31,409790.95
"alaska",2,1997,26575,1,550043,39,27.87,318,8.8,956275,40769,436177,435167,188753,11502,112883,1184482,2181526,54.3,0,1,0,0,19.95,0,48403.78,19.76,45.07,8.99,16.32,1,200255,27611.43,993569.73,453187.9,452138.51,208064.95
"arizona",3,1997,122273,1,3665339,5.5,42.39,7515,17.2,4424046,824669,237456,425343,449500,332557,186711,1631567,6880280,23.71,0,1,0,0,6.18,0,630438.31,7.02,10.91,0.67,3.22,0,782057,127041.65,4596583.79,246716.78,441931.38,812557.22
"arkansas",4,1997,59141,0,2350624,45.75,45.22,205341,19.7,3281886,576795,59277,32271,366198,27000,613199,1097945,4956626,22.15,0,1,0,0,0.65,0.09,463072.93,7.09,10.7,0.07,3.55,0,393198,61447.5,3409879.55,61588.8,33529.57,408532.72
"california",5,1997,1045254,0,29811427,43.29,53.68,75036,16.6,29199642,2810001,2072852,2030758,4614439,2182193,6935962,17836204,49845847,35.78,0,1,0,0,4.07,0,4948696.88,5.9,10.07,0.41,3.76,0,6796632,1086018.91,30338428.04,2153693.23,2109957.56,7061700.65
"colorado",6,1997,129575,0,3294473,55.57,46.29,21270,8.2,2969848,124973,161444,196853,822100,828301,422680,2431378,5342931,45.51,0,1,0,0,3.68,0.01,270146.79,10.99,19.78,0.73,8.73,0,1650401,134628.43,3085672.07,167740.32,204530.27,1714766.64
"connecticut",7,1997,134968,0,3287116,62.87,67.62,4422,8.6,1719616,41366,0,0,0,0,62996,62996,1823978,3.45,0,1,0,0,0,0,282691.98,6.08,6.45,0,0.37,0,0,140231.75,1786681.02,0,0,0
"delaware",8,1997,31263,0,666168,53.75,43.83,3364,9.6,421648,28154,0,0,0,0,4500,4500,454302,0.99,0,1,0,0,0,0.01,63952.13,6.59,7.1,0,0.51,0,0,32482.26,438092.27,0,0,0
"florida",9,1997,389473,0,12938071,55.27,44.6,129270,14.3,12599444,1338440,2172659,3702727,5643994,697247,4386865,16603492,30541376,54.36,0,1,0,0,12.12,0.01,1850144.15,6.81,16.51,2,7.7,0,6341241,404662.45,13090822.32,2257392.7,3847133.35,6588549.4
"georgia",10,1997,235733,0,6478149,85.34,41.8,285088,14.5,7250005,844452,1459570,868025,1259887,958449,583038,5128969,13223426,38.79,0,1,0,0,6.56,0.04,939331.61,7.72,14.08,0.92,5.44,0,2218336,244926.59,7532755.2,1516493.23,901877.98,2304851.1
"hawaii",11,1997,38537,1,1108229,89.88,74.13,1595,13.9,954873,76142,320032,2188722,0,316885,439156,3264795,4295810,76,0,1,0,0,50.95,0,154043.83,6.2,27.89,14.21,7.48,0,316885,40039.94,992113.05,332513.25,2274082.16,329243.52
"idaho",12,1997,29388,0,1006734,2.88,13.85,48804,14.7,1077731,162647,226798,54254,95000,55029,25878,456959,1697337,26.92,0,1,0,0,3.2,0.05,147989.9,7.28,11.47,0.37,3.82,0,150029,30534.13,1119762.51,235643.12,56369.91,155880.13
"illinois",13,1997,400327,0,11430602,36.68,59.92,358946,11.2,10420282,1962378,1177948,1579010,1429103,1376780,1905786,7468627,19851287,37.62,0,1,0,0,7.95,0.03,1280227.42,8.14,15.51,1.23,6.13,0,2805883,415939.75,10826673,1223887.97,1640591.39,2915312.44
"indiana",14,1997,162953,1,5544156,60.64,40.3,271732,8.8,4505365,718686,407578,687506,0,432846,318891,1846821,7070872,26.12,0,1,0,0,9.72,0.05,487885.73,9.23,14.49,1.41,3.85,0,432846,169308.17,4681074.24,423473.54,714318.73,449726.99
"iowa",15,1997,81695,1,2776831,20.92,40.74,158457,9.6,2414509,423595,173633,862388,466454,351055,175099,2028629,4866733,41.68,0,1,0,0,17.72,0.06,266575.78,9.06,18.26,3.24,5.96,0,817509,84881.11,2508674.85,180404.69,896021.13,849391.85
